id,Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
1,Bring Your Own Devices (BYOD) Survival Guide,Jessica Keyes,1466565039,978-1466565036,Business,"This book explains and then helps readers live with the psycho-techno phenomenon that is bring your own technology (BYOT). Readers will learn how to understand these new end-users and their demands, as well as the strategic and tactical ramifications of these demands. Next, it covers the broad range of technical considerations such as selection, connectivity, training, support, and security. The text includes best practices and case studies of well-known companies, including IBM, Ford, and CarFax. ",https://www.amazon.com/s?k=Bring+Your+Own+Devices+%28BYOD%29+Survival+Guide&i=stripbooks-intl-ship&ref=nb_sb_noss
2,The CIO's Guide to Oracle Products and Solutions,Jessica Keyes,1482249944,978-1482249941,Business,The CIO's Guide to Oracle Products and Solutions is the go-to guide for all things Oracle. It provides management-level guidance on how to successfully navigate and manage the full range of Oracle products. The book presents management best practices and user/developer lessons learned in the use of Oracle products and services.,https://m.media-amazon.com/images/I/61SQER8WLcS._AC_UY327_FMwebp_QL65_.jpg
3,"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields ,1945051752,978-1945051753,Computer Science,"In SQL QuickStart Guide You’ll Discover: The basic structure of databases—what they are, how they work, and how to successfully navigate them How to use SQL to retrieve and understand data no matter the scale of a database (aided by numerous images and examples) The most important SQL queries, along with how and when to use them for best effect Professional applications of SQL and how to “sell” your new SQL skills to your employer, along with other career-enhancing considerations ",https://m.media-amazon.com/images/I/61mfB7MXP0L._AC_UY327_FMwebp_QL65_.jpg
4,Data Science on AWS Implementing End-to-End Chris Fregly Paperback ,"Chris Fregly, Antje Barth ",1492079391,978-1492079392,Statistics,"With this practical book, AI and machine learning practitioners will learn how to successfully build and deploy data science projects on Amazon Web Services. The Amazon AI and machine learning stack unifies data science, data engineering, and application development to help level upyour skills. This guide shows you how to build and run pipelines in the cloud, then integrate the results into applications in minutes instead of days. Throughout the book, authors Chris Fregly and Antje Barth demonstrate how to reduce cost and improve performance. Apply the Amazon AI and ML stack to real-world use cases for natural language processing, computer vision, fraud detection, conversational devices, and more Use automated machine learning to implement a specific subset of use cases with Amazon SageMaker Autopilot Dive deep into the complete model development lifecycle for a BERT-based NLP use case including data ingestion, analysis, and more Tie everything together into a repeatable machine learning operations pipeline Explore real-time ML, anomaly detection, and streaming analytics on data streams with Amazon Kinesis and Managed Streaming for Apache Kafka Learn security best practices for data science projects and workflows including identity and access management, authentication, authorization, and more",https://m.media-amazon.com/images/I/81k33dFBLtS._AC_UY327_FMwebp_QL65_.jpg
5,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems 2nd Edition",Aurélien Géron ,1492032646,978-1492032649,Computer Science,"Now fully updated, this bestselling book uses concrete examples, minimal theory, and two production-ready Python frameworks--Scikit-Learn and TensorFlow 2--to help users gain an intuitive understanding of the concepts and tools for building intelligent systems.t systems.",https://m.media-amazon.com/images/I/81kv0vHJ0QL._AC_UY327_FMwebp_QL65_.jpg
6,LinkedIn For Dummies 6th Edition,Joel Elad,1119695333,978-1119695332,Business," LinkedIn For Dummies shows LinkedIn newcomers the best ways to discover new opportunities, enhance their personal brand, network with other professionals, and give an exponential boost to their career. Consider this book a passport to help you connect more successfully with many of LinkedIn's 660+ million members in over 200 countries, as well as an expert guide to the platform's tools and features and the proven tactics that get you noticed. In this friendly, all-access introduction to the LinkedIn scene, entrepreneurship guru Joel Elad clues you in on the essentials. Get the latest insight on how to create an attractive profile that will make employers give you a second glance as well as techniques for making useful connections across the globe. In no time at all you'll also be right at home with the profile user interface and getting busy with adding content, searching for career opportunities, and, if you're looking to hire for your company, recruiting top candidates. ",https://m.media-amazon.com/images/I/61gpUNbA5rL._AC_UY327_FMwebp_QL65_.jpg
7,Site Reliability Engineering: How Google Runs Production Systems 1st Edition,"Niall Richard Murphy, Betsy Beyer, Chris Jones, Jennifer Petoff",149192912X,978-1491929124,Computer Science,"This book is divided into four sections: Introduction--Learn what site reliability engineering is and why it differs from conventional IT industry practicesPrinciples--Examine the patterns, behaviors, and areas of concern that influence the work of a site reliability engineer (SRE)Practices--Understand the theory and practice of an SRE's day-to-day work: building and operating large distributed computing systemsManagement--Explore Google's best practices for training, communication, and meetings that your organization can use ",https://m.media-amazon.com/images/I/91CMi+LGZiL._AC_UY327_FMwebp_QL65_.jpg
8,"Thinking, Fast and Slow",Daniel Kahneman,374533555,978-0374533557,Medical Science,"In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities—and also the faults and biases—of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacation—each of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.",https://m.media-amazon.com/images/I/61fdrEuPJwL._AC_UY327_FMwebp_QL65_.jpg
9,Beyond Behaviors: Using Brain Science and Compassion to Understand and Solve Children's Behavioral Challenges,Mona Delahooke,1683731190,978-1683731191,Medical Science,"A NEW approach to solving behavioral challenges. In Beyond Behaviors , internationally known pediatric psychologist, Dr. Mona Delahooke describes behaviors as the tip of the iceberg, important signals that we should address by seeking to understand a child's individual differences in the context of relational safety. Featuring impactful worksheets and charts, this accessible book offers professionals, educators and parents tools and techniques to reduce behavioral challenges and promote psychological resilience and satisfying, secure relationships. Neuroscience-based effective tools and strategies for children labeled with: Conduct Disorder Oppositional Defiant Disorder (ODD) Disruptive Mood Dysregulation Disorder (DMDD) Reactive Attachment Disorder (RAD) Sensory Processing Disorder (SPD) Anxiety & Depression Autism & Developmental or Learning Differences And children who experience or have experienced: Aggressive, confusing or unpredictable behaviors Tantrums and meltdown Disconnection or shutdown Adverse childhood experiences Trauma and toxic stress",https://m.media-amazon.com/images/I/71NVh0tFfyL._AC_UY327_FMwebp_QL65_.jpg
10,"Psychoanalytic Diagnosis, Second Edition: Understanding Personality Structure in the Clinical Process",Nancy McWilliams,1462543693,978-1462543694,Medical Science,"This acclaimed clinical guide and widely adopted text has filled a key need in the field since its original publication. Nancy McWilliams makes psychoanalytic personality theory and its implications for practice accessible to practitioners of all levels of experience. She explains major character types and demonstrates specific ways that understanding the patient's individual personality structure can influence the therapist's focus and style of intervention. Guidelines are provided for developing a systematic yet flexible diagnostic formulation and using it to inform treatment. Highly readable, the book features a wealth of illustrative clinical examples. New to This Edition *Reflects the ongoing development of the author's approach over nearly two decades. *Incorporates important advances in attachment theory, neuroscience, and the study of trauma. *Coverage of the contemporary relational movement in psychoanalysis. Winner--Canadian Psychological Association's Goethe Award for Psychoanalytic and Psychodynamic Scholarship",https://m.media-amazon.com/images/I/71-eUosjZlL._AC_UY327_FMwebp_QL65_.jpg
11,"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativityand Will Determine the Fate of the Human Race","Daniel Z., Long, Michael E. Lieberman",1948836580,978-1948836586,Medical Science,"In The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and will Determine the Fate of the Human Race, George Washington University professor and psychiatrist Daniel Z. Lieberman, MD, and Georgetown University lecturer Michael E. Long present a potentially life-changing proposal: Much of human life has an unconsidered component that explains an array of behaviors previously thought to be unrelated, including why winners cheat, why geniuses often suffer with mental illness, why nearly all diets fail, and why the brains of liberals and conservatives really are different.",https://m.media-amazon.com/images/I/81VALulTmRL._AC_UY327_FMwebp_QL65_.jpg
12,"Morgan and Mikhail's Clinical Anesthesiology, 6th edition","John F., Mackey, David C., Wasnick, John D. Butterworth",1259834425,978-1549617218,Medical Science,"This Sixth Edition has been extensively revised to reflect a greater emphasis on critical care medicine, enhanced recovery, and ultrasound in anesthesia practice. Key features that make it easier to understand complex topics: -Rich full-color art work combined with a modern, user-friendly design make information easy to find and remember -Case discussions promote application of concepts in real-world clinical practice -Boxed Key Concepts at the beginning of each chapter identify important issues and facts that underlie the specialty -Numerous tables and figures encapsulate important information and facilitate recall -Up-to-date discussion of all relevant areas of anesthesiology, including equipment and monitors, pharmacology, pathophysiology, regional anesthesia, pain management, and critical care -URLs for societies, guidelines, and practice advisories",https://m.media-amazon.com/images/I/41FlzT87xcL._AC_UY327_FMwebp_QL65_.jpg
13,Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition),Oliver Theobald,152095140X,978-1520951409,Computer Science,"This book offers a practical and high-level introduction to machine learning. Machine Learning for Absolute Beginners has been written and designed for absolute beginners. This means plain-English explanations and no coding experience required. Where core algorithms are introduced, clear explanations and visual examples are added to make it easy and engaging to follow along at home. This title opens with a general introduction to machine learning from a macro level. The second half of the book is more practical and dives into introducing specific algorithms applied in machine learning, including their pros and cons. At the end of the book, this book share insights and advice on further learning and careers in this space. The very basics of Machine Learning that all beginners need to master - Decision Trees for visually mapping and classifying decision processes - Regression Analysis to create trend lines and predict trends - Data Reduction and Principle Component Analysis to cut through the noise - k-means and k-nearest Neighbor (k-nn) Clustering to discover new data groupings - Introduction to Deep Learning/Neural Networks - Bias/Variance to optimize your machine learning model - How to build your first machine learning model to predict video game sales using Python ","https://images-na.ssl-images-amazon.com/images/I/41KnH6vqp0L._SX331_BO1,204,203,200_.jpg"
14,Deep Learning with Python 1st Edition,François Chollet,1617294438,978-1617294433,Computer Science,"Summary Deep Learning with Python introduces the field of deep learning using the Python language and the powerful Keras library. Written by Keras creator and Google AI researcher Fran ois Chollet, this book builds your understanding through intuitive explanations and practical examples. this book builds your understanding through intuitive explanations and practical examples. You'll explore challenging concepts and practice with applications in computer vision, natural-language processing, and generative models. By the time you finish, you'll have the knowledge and hands-on skills to apply deep learning in your own projects. What's Inside Deep learning from first principles Setting up your own deep-learning environment Image-classification models Deep learning for text and sequences Neural style transfer, text generation, and image generation About the Reader Readers need intermediate Python skills. No previous experience with Keras, TensorFlow, or machine learning is required. About the Author Fran ois Chollet works on deep learning at Google in Mountain View, CA. He is the creator of the Keras deep-learning library, as well as a contributor to the TensorFlow machine-learning framework","https://images-na.ssl-images-amazon.com/images/I/41PYcD28fIL._SX397_BO1,204,203,200_.jpg"
15,Python Tricks: A Buffet of Awesome Python Features,Dan Bader ,1775093301,978-1775093305,Computer Science,"The Book you’ll discover Python’s best practices and the power of beautiful & Pythonic code with simple examples and a step-by-step narrative. You'll get one step closer to mastering Python, so you can write beautiful and idiomatic code that comes to you naturally. Learning the ins and outs of Python is difficult—and with this book you'll be able to focus on the practical skills that really matter. Discover the “hidden gold” in Python’s standard library and start writing clean and Pythonic code today.","https://images-na.ssl-images-amazon.com/images/I/41Jia8+RIuL._SX331_BO1,204,203,200_.jpg"
16,JavaScript Absolute Beginner's Guide 1st Edition,Chinnathambi Kirupa,789758067,978-0136502890,Computer Science,"JavaScript Absolute Beginner's Guide serves as an easy-to-understand tutorial on both scripting basics and JavaScript itself. The book is written in a clear and very personable style with an extensive use of practical, complete examples. The book is filled with large, full-color illustrations and all the programming code is displayed in color to help the beginner understand the key components and structure of the language.","https://images-na.ssl-images-amazon.com/images/I/41r4HUHrVeL._SX382_BO1,204,203,200_.jpg"
17,The Hundred-Page Machine Learning Book,Andriy Burkov ,199957950X,978-1999579500,Computer Science,"The book can be read during a week. During that week, you will learn almost everything modern machine learning has to offer. The author and other practitioners have spent years learning these concepts.","https://images-na.ssl-images-amazon.com/images/I/41-PHUw7hAL._SX404_BO1,204,203,200_.jpg"
18,Learning Scientific Programming with Python 2nd Edition,Christian Hill,1108745911,978-1108745918,Computer Science,"powerful Python programming language as an alternative to commercial packages and this fast-paced introduction moves from the basics to advanced concepts in one complete volume, enabling readers to gain proficiency quickly. Beginning with general programming concepts such as loops and functions within the core Python 3 language, and moving on to the NumPy, SciPy and Matplotlib libraries for numerical programming and data visualization, this textbook also discusses the use of Jupyter Notebooks to build rich-media, shareable documents for scientific analysis. The second edition features a new chapter on data analysis with the pandas library and comprehensive updates, and new exercises and examples. A final chapter introduces more advanced topics such as floating-point precision and algorithm stability, and extensive online resources support further study. This textbook represents a targeted package for students requiring a solid foundation in Python programming. ",https://m.media-amazon.com/images/I/41llOk8xapL.jpg
19,Bird's Basic Engineering Mathematics 8th Edition,John Bird,367643677,978-0367643676,Engineering,"Mathematical theories are explained in a straightforward manner, supported by practical engineering examples and applications to ensure that readers can relate theory to practice. Some 1,000 engineering situations/problems have been 'flagged-up' to help demonstrate that engineering cannot be fully understood without a good knowledge of mathematics. 
The extensive and thorough coverage makes this a great text for introductory level engineering courses - such as for aeronautical, construction, electrical, electronic, mechanical, manufacturing engineering and vehicle technology - including for BTEC First, National and Diploma syllabuses, City & Guilds Technician Certificate and Diploma syllabuses, and even for GCSE revision.","https://images-na.ssl-images-amazon.com/images/I/51rhB+XZ+tL._SX371_BO1,204,203,200_.jpg"
20,Think Bayes: Bayesian Statistics in Python 2nd Edition,Allen B. Downey,149208946X,978-1492089469,Mathematics,"With this book, you'll learn how to solve statistical problems with Python code instead of mathematical formulas, using discrete probability distributions rather than continuous mathematics. this book's computational approach helps you get a solid start. Use your programming skills to learn and understand Bayesian statistics Work with problems involving estimation, prediction, decision analysis, evidence, and Bayesian hypothesis testing Get started with simple examples, using coins, dice, and a bowl of cookies Learn computational methods for solving real-world problems","https://images-na.ssl-images-amazon.com/images/I/51MxVrJjZjS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
21,Algebra 1 Workbook: The Self-Teaching Guide and Practice Workbook with Exercises and Related Explained Solution. You Will Get and Improve Your Algebra 1 Skills and Knowledge from A to Z ,Richard Carter,1790340098,978-1790340095,Mathematics,"This book contains: Basic operations, number and integers, properties, rules and tips Monomials, Binomials and Polynomials operations How to find Least Common Multiple and Greatest Common Factor, Factorization and Prime Numbers Different types of expressions, and related ways of solutions Different types of equations, Inequalities and Functions with the related ways of solutions Many exercises the reader can do for each different argument with related explanations and solutions Algebra is a very noteworthy subfield of mathematics in its versatility alone if nothing else. The most general and the most commonly used definition of algebra is the study of mathematical symbols as well as the study of the manipulation of these symbols, so the study of these symbols is one of the most important studies that one can take up as far as mathematics is concerned. To that end, in this book, you will find some of the most important topics regarding algebra. These include but are not limited to the following: understanding integers and basic operations, inequalities and one-step operations; fractions and factors; the main rules of arithmetic; linear equations in the coordinate plane, expressions, equations and functions; real numbers; solving linear equations; visualizing linear functions, linear equations, linear inequalities, systems of linear equations and inequalities; exponents and exponential function; polynomials, quadratic equations, radical expression, radical equations, rational expressions; and finally, intermediate topics in algebra.","https://images-na.ssl-images-amazon.com/images/I/51g8hMBR6xL._SX332_BO1,204,203,200_.jpg"
22,Freakonomics Revised and Expanded Edition: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner ",63032376,978-0063032378,Mathematics,"In this groundbreaking book, leading economist Steven Levitt--Professor of Economics at the University of Chicago and winner of the American Economic Association's John Bates Clark medal for the economist under 40 who has made the greatest contribution to the discipline--reveals that the answers. Joined by acclaimed author and podcast host Stephen J. Dubner, Levitt presents a brilliant--and brilliantly entertaining--account of how incentives of the most hidden sort drive behavior in ways that turn conventional wisdom on its head.","https://images-na.ssl-images-amazon.com/images/I/51NVRXSH9fL._SX330_BO1,204,203,200_.jpg"
